Country,Total,SolidFuel,LiquidFuel,GasFuel,Cement,GasFlaring,PerCapita,Bunkerfuels (Not in Total)
AFGHANISTAN,2675,1194,1393,74,14,0,0.08,9
ALBANIA,1559,191,1053,16,299,0,0.54,23
ALGERIA,39651,149,14422,20151,2856,2073,1.02,581
ANDORRA,126,0,126,0,0,0,1.74,0
ANGOLA,9480,0,5310,158,340,3672,0.39,509
ANGUILLA,39,0,39,0,0,0,2.66,0
ANTIGUA & BARBUDA,145,0,145,0,0,0,1.59,44
ARGENTINA,55638,1588,25685,26368,1551,446,1.29,2079
ARMENIA,1508,0,234,1216,58,0,0.5,34
ARUBA,238,0,238,0,0,0,2.3,80
AUSTRALIA,98517,44558,32778,19800,1224,157,4.17,3754
AUSTRIA,16011,3129,8259,4025,598,0,1.88,553
AZERBAIJAN,10223,2,3174,5782,390,876,1.06,360
BAHAMAS,659,1,657,0,0,0,1.72,162
BAHRAIN,8546,0,604,7738,204,0,6.28,338
BANGLADESH,19959,957,4154,12536,2312,0,0.13,362
BARBADOS,347,0,317,7,22,0,1.22,27
BELARUS,17316,888,5072,10592,764,0,1.82,94
BELGIUM,25457,3215,13543,7869,830,0,2.27,5889
BELIZE,135,0,134,1,0,0,0.38,10
BENIN,1723,51,1483,0,190,0,0.16,156
BERMUDA,157,0,157,0,0,0,2.51,24
BHUTAN,273,69,111,0,94,0,0.36,3
"BONAIRE, SAINT EUSTATIUS, AND SABA",88,0,88,0,0,0,3.62,190
BOSNIA & HERZEGOVINA,6063,4738,1117,95,114,0,1.59,3
BOTSWANA,1918,1049,819,0,50,0,0.86,9
BRAZIL,144480,20089,92454,21297,9691,949,0.7,4895
BRITISH VIRGIN ISLANDS,49,0,49,0,0,0,1.64,0
BRUNEI (DARUSSALAM),2484,0,461,1848,48,127,5.95,122
BULGARIA,11567,6821,3018,1476,252,0,1.61,211
BURKINA FASO,777,0,722,0,55,0,0.04,29
BURUNDI,120,4,106,0,10,0,0.01,3
CAMBODIA,1823,251,1382,0,190,0,0.12,63
CANADA,146494,20667,67717,55436,1616,1059,4.12,914
CAPE VERDE,134,0,134,0,0,0,0.26,105
CAYMAN ISLANDS,148,0,148,0,0,0,2.5,9
CENTRAL AFRICAN REPUBLIC,82,0,82,0,0,0,0.02,29
CHAD,199,0,172,0,27,0,0.01,15
CHILE,22515,6989,12610,2223,680,13,1.27,702
CHINA (MAINLAND),2806634,2026492,344725,96504,338912,0,2.05,12066
COLOMBIA,22932,3988,10856,6186,1684,218,0.48,1636
COMOROS,42,0,42,0,0,0,0.05,3
CONGO,844,0,658,123,63,0,0.19,34
COOK ISLANDS,19,0,19,0,0,0,0.93,2
COSTA RICA,2116,63,1849,0,204,0,0.44,132
COTE D IVOIRE,3012,0,1627,1032,354,0,0.14,96
CROATIA,4593,670,2343,1261,319,0,1.08,98
CUBA,9500,1,8655,629,215,0,0.83,206
CURACAO,1604,0,1604,0,0,0,10.3,1446
CYPRUS,1653,3,1551,0,100,0,1.43,397
CZECH REPUBLIC,26309,16744,5202,3861,502,0,2.5,242
